id,content,year
67,"East of Cape Dorset, Canada__no.0067, 2016.",2016
68,"Canadian Northwest Territories, near MacKenzie River and Reindeer Station__no.0068, 2016. #permafrost #tundra",2016
69,"Northwest Territories, MacKenzie River__no.0069, 2016. #Canada",2016
70,"MacKenzie River at the tiny town of Tsiigehtchic in Canada__no.0070, 2016.   ",2016
71,"Mississippi River at the Gulf of Mexico Shell Central Facilities Seaplane Base__no.0071, 2016.",2016
72,"Mississippi River at the Gulf of Mexico, Pilottown__no.0072, 2016.",2016
73,"Confluence of the Mississippi and Arkansas Rivers in Arkansas__no.0073, 2016.",2016
74,"Arkansas River near the Mississippi River, in Arkansas__no.0074, 2016.",2016
75,"Africa’s Lake Victoria is contiguous with Uganda, Kenya, and Tanzania__no.0075, 2016.",2016
76,"Missouri River at Cannonball River, North Dakota, where a proposed pipeline would go under the Missouri River carrying the unusually heavy Bakken oil from Alberta, Canada__no.0076, 2016.",2016
77,"Mississippi River and Lake Ponchartrain in New Orleans, Louisiana__no.0077, 2016.",2016
78,"Unknown…(atmospheric current?)__no.0078, 2016.",2016
79,"Missouri River at South Dakota/Nebraska border__no.0079, 2016.",2016
80,"Unknown…(atmospheric current?)__no.0080, 2016.",2016
81,"Kansas River (Kaw)__no.0081, 2016.",2016
82,"Northern Canada, east coast__no.0082, 2016.",2016
83,"Straits of Gibraltar, Morocco__no.0083, 2016. #MediterraneanSea #Africa #AtlanticOcean #IberianPeninsula",2016
84,"Macau, China, the Xi River__no.0084, 2016. #Asia",2016
85,"Unidentified__no.0085, 2016.",2016
86,"Colorado River Delta near the Gulf of California__no.0086, 2016. ",2016
87,"Amite River, Louisiana, flood of 2016__no.0087, 2016.",2016
88,"Colorado River Headwaters at La Poudre Pass Lake in Colorado, near the continental divide__no.0088, 2016.",2016
89,"Kansas River at Mission Creek, northwest of Topeka, Kansas__no.0089, 2016",2016
90,"Kansas River at Deep Creek, east of Manhattan, Kansas__no.0090, 2016",2016
91,"Norilsk, Russia, North of the Arctic Circle, September, 2016: the world’s biggest nickel producer, Norilsk Nickel, said heavy rains caused a spillage, turning the Daldykan river blood red__no.91, 2016. #watercontamination #pollution #waterpollution #toxicminerals #Asia",2016
92,"Maramon River in Peru has experienced multiple oil pipeline breaks__no.0092, 2016. #SouthAmerica #watercontamination #waterpollution #oilspill",2016
93,"Maramon River in Peru has experienced multiple oil pipeline breaks__no.0093, 2016. #SouthAmerica #watercontamination #waterpollution #oilspill ",2016
94,"Oyster Bay in Florida’s Everglades__no.0094, 2016. #GulfofMexico",2016
95,"Tampa Bay at Anna Maria Island__no.0095, 2016. #GulfofMexico #Florida",2016
96,"Colorado River Delta near the Gulf of California__no.0096, 2016. #Mexico #drought",2016
97,"Mosier, Oregon, oil train explosion, 2016__no.0097, 2016. #oilcontamination watercontamination #fatalities ",2016
98,"Yukon Delta, Alaska #2__no.0098, 2016. #Riverdeltas",2016
99,"Colorado River near Yuma, Arizona__no.0099, 2016.  #Southwest",2016
100,"Unknown source, crystals in water__no.0100, 2016. ",2016
101,"Animas River, Colorado, where gold mine residue was accidentally released bringing toxic minerals and the color of mustard into the water supply for agriculture downstream__no.0101, 2016. #watercontamination #Pollution #toxicminerals #Goldmine #agriculture ",2016
102,"Kansas River and Big Blue River, Manhattan, KS__no.0102, 2016.",2016
103,"Atmospheric River__no.0103, 2016. #Weather #Atmosphere #Jetstream ",2016
104,"Unknown (Aleutian Islands?)__no.0104, 2016.",2016
105,"Tangier Island, Virginia, in Chesapeake Bay, is 4 ft. above sea level__no.0105, 2017 #Eastcoast #Risingwater #Risingseas ",2017
106,"Thamirabarina River, in India, has low river levels negatively affecting the nearby power plant__no.0106, 2017. #Droughtconditions #Drought",2017
107,"Laguna Lake is the largest freshwater lake in the Philippines__no.0107, 2017",2017
108,"Indian River Lagoon, Florida:  large amounts of toxic mercury were found in dolphins 	living in the lagoon according to The Independent: Charlotte, England; May 4, 2017… Dolphins are a “sentinel” species, indicators of the health of a surrounding environment_no.0108, 2017. #mineralcontamination #toxicminerals #mercury",2017
109,"Isle De Jean Charles, in the Mississippi delta, is having to relocate because of rising water and sinking land_no.0109, 2017. #Subsidence #Risingwater #islands  ",2017
110,"Little Powder River at Antelope Creek, Wyoming, in “coal country” and near the largest coal operation in the U.S.__no.0110, 2017.  #Coal #Mineralextraction #Contamination #Mining",2017
111,"The glacially fed Slims River, in the Yukon, is now extinct as of spring, 2016. It was flowing into Kluane Lake, but is now reduced as the Kaskawulsh Glacier melted, with remaining water going into Kaskawulsh River and further on into the Gulf of Alaska__no.0111, 2017.  #Glaciers #Glaciermelt #Climatechange ",2016
112,"Lake Urmia, in western Iran, once was the 6th largest saline lake in the world. It has lost 90% of it’s water since 1970__no.0112, 2017.  #Drought #Climatechange #Risingtemperatures #Mideast",1970
113,"Swansea Bay, United Kingdom, where there is a proposal for hydropower in the bay__no.0113, 2017. ",2017
114,"Chamanga, Equador, is 15 miles north of the Equator__no.0114, 2017. #SouthAmerica #PacificOcean	",2017
115,"Geneva, Switzerland, the Rhone and Arve Rivers__no.0115, 2017. #Europe",2017
116,"Murray River, Australia’s longest river, at the Victoria / New South Wales border__no.0116, 2017. #Australia",2017
117,"Australia’s Murray River at Barmah National Park__no.0117, 2017.",2017
118,"Ogoone River, in the country of Gabon in western Africa__no.0118, 2017.",2017
119,"Ogoone River, in the country of Gabon in western Africa was called “A Conservationist’s Dream” by The Nature Conservancy__no.0119, 2017.",2017
120,"Papua New Guinea__no.0120, 2017. #PacificIslands #Oceania",2017
121,"Papua New Guinea__no.0121, 2017. #PacificIslands #Oceania",2017
122,"Tagus River northeast of Lisbon, Spain__no.0122, 2017. ",2017
123,"Mud Islands & Lake Alexandrina near Victor Harbor and Great Australian Bight__no.0123, 2017. #Australia",2017
124,"Cannonball River at the Missouri River, North Dakota (“Standing Rock”)__no.0124, 2017. #Waterprotectors #Waterislife #MniWiconi #StandingRockSioux #oilpipeline #",2017
125,"Irrawaddy River in Myanmar (Burma), southeast of the city of Mandalay__no.0125, 2017. #Asia",2017
126,"Smoky Hill River between Salina and Lindsborg, Kansas__no.0126, 2017.",2017
127,"Mill Creek between Alma and McFarland, Kansas, in the Flint Hills__no.0127, 2017. #FlintHills #tallgrassprairie",2017
128,"McDowell Creek at Konza Prairie, Manhattan, Kansas__no.0128, 2017. #tallgrassprairie, #FlintHills",2017
129,"Missouri River east of Kansas City at an old channel of the Missouri River, at Rock Creek__no.0129, 2017.",2017
130,"Bull Creek and Cottonwood Rivers, East of Strong City, in the Kansas Flint Hills__no.0130, 2017",2017
131,"Lake Baikal, in Russia’s Southern Siberia, is the largest freshwater lake in the world by volume, and the deepest. At one time 330 rivers and streams flowed into Lake Baikal. But despite its listing as a UNESCO World Heritage Site, Lake Baikal continues to come under threat from industrial pollution, agricultural run-off, nearby mining activities, and climate change, so that currently it is fast losing water volume and water quality__no.0131, 2018. #waterpollution #freshwater #toxicminerals ",2018
132,"Lake Urmia in Iran is shrinking dramatically. Once Iran’s largest wetland, and one of the biggest saltwater lakes in the world, it is struggling, as land and water use studies are showing ways to try to keep it alive into the future__no.0132, 2018. #saltwaterlake #drought #climatechange ",2018
133,"Poopo Lake, (also Lago Poopo), in Bolivia WAS a large saline lake in a shallow depression  in the mountains of Bolivia. Melting of the the Andes glaciers and loss of their waters and drought due to climate change, and diversion of water for mining and agriculture all contributed to its official demise__no.0133, 2018. #SouthAmerica #waterdiversion #glaciers #meltingglaciers #AndesMountains ",2018
134,"Lake Chad, in the African country of Chad, has no continuing source of water. It is surrounded by Chad, Cameroon, Niger, and Nigeria and is shrinking dramatically. Many schemes, such as diversion from other sources, are at play in trying to replenish the lake, but it’s a difficult proposition as climate worsens and competing interests clamor for fresh water__no.0134, 2018. #climatechange #Africa ",2018
135,"Green Lake, Kileuea Volcano, Hawaii…A 2018 volcano eruption results in lava entering a lake which subsequently turned to steam and residue__no.0135, 2018. #volcanoeruption #Pacific",2018
136,"Salton Sea, in California, is drying up, with wind-blown sediment causing physical distress across a broad region. (UPDATE, 2022: Lithium beneath the Salton region may provide relief for U.S. conversion to electric vehicles as we face down climate change)__no.0136, 2018. #mineralcontamination #toxicminerals #airbornetoxins #toxins",2022
137,"Burrard Inlet at Vancouver, British Columbia__no.0137, 2018. #Canada",2018
138,"Maverick’s Beach in Half Moon Bay, California, is a legendary surfing destination__no.0138, 2018. #surfing #extremewaves #Pacificcoast #Mavericks",2018
139,"Black Creek, which flows into Genesee River in Rochester, New York, drains the swampland southwest of the city__no.0139, 2018.",2018
140,"Rock River and Little Rock River, South of Doon, Iowa, suffered a crude oil train spill into flooded waters (230,000+ gallons, about 1/2 contained?), June 22, 2018__no.0140, 2018. #watercontamination #oiltrain #",2018
141,"Laguna de Alverado in Mexico__no.0141, 2018.",2018
142,"Elephant Butte Reservoir on the Rio Grande in New Mexico__no.0142, 2018. #Southwest",2018
143,"Miraflores Locks, Panama Canal__no.0143, 2018. #CentralAmerica",2018
144,"Pine River, in St. Louis, Michigan; Former Versicol Chemical Plant Site /Superfund locations on the banks of the river, buried in 1982__no.0144, 2018. #Chemicalcontamination #watercontamination #waterpollution #toxins",1982
145,"Severn River along the Chesapeake Bay is “likely to experience 25 - 50% more than the global average sea level rise.” according to a NOAA scientist, via interview by Christopher Joyce, NPR correspondent__no.0145, 2018. #risingwaters #risingwater #sealevelrise #climatechange ",2018
146,"Milk River, a tributary of Missouri River, defines the boundary of Fort Peck Indian Reservation in Montana__no.0146, 2018.",2018
147,"Fort Peck Dam is 80 years old, the highest of 6 major dams along the Missouri River, and the largest hydraulically-filled dam in the US…a methodology of concern as the dam ages__no.0147, 2018. #Montana",2018
148,"Blackwater National Wildlife Refuge, Maryland__no.0148, 2018 #Eastcoast",2018
149,"Feather River, below Oroville Dam, California__no.0149, 2018 #Dams",2018
150,"Congo River at Bokema, Democratic Republic of the Congo, Africa__no.0150, 2018. ",2018
151,"Mono Lake, a large shallow saline soda lake in California. Los Angeles has diverted water from freshwater streams feeding the lake, causing salinity issues for migratory birds and 	diminished water supply__no.0151, 2018. #waterdiversion #saltlakes",2018
152,"Kenai Fjords National Park, Gulf of Alaska…when the Exxon Valdez tanker ran aground, the beaches of this park were among those most affected!__no.0152, 2018. #watercontamination #oilspill #oilspills #waterpollution",2018
153,"Kodiak Island, Gulf of Alaska, is the second largest island in the U.S.__no.0153, 2018.",2018
154,"Chuitna River at Cook Inlet, Alaska; proposed coal strip mine, 2018. Five species of wild 	salmon will be affected by the mine__no.0154, 2018",2018
155,"Confluence of Willamette River and Columbia River, Portland, Oregon__no.0155, 2018.",2018
156,"Magdalena River, Colombia__no.0156, 2018. #SouthAmerica",2018
157,"Magdalena River, Colombia__no.0157, 2018. #SouthAmerica ",2018
158,"Magdalena River at Barrancabermeja, Colombia__no.0158, 2018. #SouthAmerica",2018
159,"Sacramento River at Redding, California / Carr Fire, 2018__no.0159, 2018. #forestfire",2018
160,"East Rosebud Creek in Montana was named the ”Wild and Scenic River 2018” on the 50th anniversary of the Wild and Scenic River Act. The creek had previously been threatened by a new hydropower dam__no.0160, 2018.",2018
161,"Clinch River and Emory Rivers, contaminated by 2008 coal fly ash slurry spill from TVA Kingston Fossil Plant; Tennessee__no.0161, 2018.  #watercontamination #waterpollution",2008
162,"Straits of Mackinac, Michigan…Dual pipelines for Enbridge Line 5 carry 23 million gallons of petroleum product daily from western Canada and run under these environmentally sensitive straits. Multiple concerns include that these 20” wide pipes have been damaged, and they are aging__no.0162, 2018.  #oilpipelines #watercontamination #oilspills #GreatLakes",2018
163,"Straits of Mackinac, Michigan…The Great Lakes are home to 20% of the world’s fresh surface water on the planet. University of Michigan scientists modeled the currents in the Straits of Mackinac and called it “the worst possible place for an oil spill in the Great Lakes”__no.0163, 2018.  #GreatLakes #oilspills #watercontamination #waterthreat #freshwater",2018
164,"Charleston, South Carolina; tidal flooding is increasing__no.0164, 2018  #EastCoast #hightides",2018
165,"Mobile Bay is seeing monitoring of “SAV,” submerged aquatic vegetation, in the estuary, the sixth largest in the country. (Chickasaw Creek, Mobile River, Spanish River, Polecat Bay, Chacaloochee Bay, Raft River, Tensaw River, Apalachee River, Blakeley River, Chuckfee Bay)__no.0165, 2018. #estuaries #estuarinehealth ",2018
166,"Murray River at Perricoota, and across from Gunbower National Park, Victoria, Australia;	north of Melbourne__no.0166, 2018.",2018
167,"Congo River at Bokema, Democratic Republic of Congo__no.0167, 2018. #Africa",2018
168,"Murray River at Punyelroo and Marks Landing in South Australia__no.0168, 2018. ",2018
169,"Cumberland River, Gallatin, Tennessee; Gallatin Fossil Plant; a new ruling declares that proper coal ash disposal is required, August 2017, following years of leaking from disposal ponds into the river__no.0169, 2018. #watercontamination #waterpollution #coalashdisposal #coalindustry #fossilfuels",2017
170,"Tangier Island, (Virginia), Chesapeake Bay; “Water will one day swamp historic Tangier Island, in the Chesapeake Bay. But its inhabitants argue that it’s erosion, not climate change.”—Simon Worrall, National Geographic, September 7, 2018.__no.0170, 2018. #risingwater #climatechange #islands #Eastcoast #denial",2018
171,"Eskimo Lakes, west of Anderson River Delta Bird Sanctuary in the Northwest Territories at the Beaufort Sea/Arctic Ocean__no.0171, 2018.  #Canada",2018
172,"Coorong National Park, South Australia; protected wetland area with a chain of saltwater lagoons sheltered by dunes, stretching for 130 km__no.0172, 2018.",2018
173,"Missouri River Headwaters, Montana. Three rivers—the Gallatin, Madison and Jefferson— (all named by Lewis and Clark), make up the headwaters of this 2300 mile long river__no.0173, 2018.",2018
174,"Missouri River Headwaters, Montana. Three rivers—the Gallatin, Madison and Jefferson— (all named by Lewis and Clark), make up the headwaters of this 2300 mile long river__no.0174, 2018.",2018
175,"Neuse River at New Bern and James City, North Carolina, experienced extraordinary flooding following Hurricane Florence, September, 2018___no.0175, 2018.  #Eastcoast #Risingwater",2018
176,"Charleston, South Carolina; Cooper River and Ashley River___no.0176, 2018.  #Eastcoast",2018
177,"Rio Grande Headwaters near Silverton and Telluride, Colorado, in Rio Grande National Forest__no.0177, 2018",2018
178,"Rio Grande at Albuquer	que, New Mexico__no.0178, 2018. #Southwest",2018
179,"Pryp’yat’ River, Chernobyl, Ukraine; Chernobyl Exclusion Zone is highighted__no.0179, 2018. #Nuclearpowerplant",2018
180,"Whanganui River in New Zealand; First (2017) river legally recognized as a living entity with same legal rights as a person__no.0180, 2018.",2017
181,"Dan River Coal ash spill, 2014, near Eden, North Carolina; 39,000 tons of coal ash spilled into the Dan River. The single word “leaksville” showed up on Google map, likely inserted in reference to the historic event__no.0181, 2018. #watercontamination #coalindustry #waterpollution ",2014
182,"Victoria Nile River at the “Source of the Nile” in Uganda. Lake Victoria is to the south__no.0182, 2018. #Africa",2018
183,"Victoria Nile River at Murchison Falls in Uganda__no.0183, 2018. #Africa",2018
184,"Victoria Nile flows into the larger White Nile at Lake Victoria in Uganda__no.0184, 2018. #Africa",2018
185,"White Nile in South Sudan, flowing north__no.0185, 2018. #Africa #Mideast",2018
186,"Tuti Island, at Khartoum, the capital of Sudan (Africa); at the confluence of the Blue Nile and White Nile forming the Nile River, arguably the longest river in the world__no.0186, 2018. #Africa",2018
187,"Cochita Lake on Rio Grande at Santa Fe, New Mexico__no.0187, 2018. #Southwest",2018
188,"Columbia River at Longview, Washington, is a proposed site for the nation’s largest coal export terminal…pending as of October 15, 2018__no.0188, 2018. #coalindustry",2018
189,"Pellicer Creek, on the east coast of Florida is part of a State Canoe Trail__no.0189, 2018. #Eastcoast #Canoetrail",2018
190,"Tijuana River at the California coast, just north of the Mexico border; nearby Imperial Beach is considering options as yearly “King Tide” water is starting to affect liveability__no.0190, 2018. #risingwaters #Pacificcoast",2018
191,"White Slough, Central Valley, California; west of San Francisco there are many dikes protecting agricultural areas. This is a slow-moving back-water tributary of the San Joaquin River__no.0191, 2018. #agriculture",2018
192,"San Juan Creek at Capistrano Beach, California coast__no.0192, 2018. #Pacificcoast",2018
193,"Napa River, California, between Napa and Vallejo__no.0193, 2018. #Pacificcoast",2018
194,"East Lake Tohopekaliga, south of Orlando, Florida__no.0194, 2018. #Eastcoast",2018
195,"Apalachicola Bay, Florida Gulf Coast; The oyster industry is compromised by upstream use of Apalachicola River water (freshwater is necessary to create the salt water/fresh water balance), and, in 2018, by Hurricane Michael__no.0195, 2018. ",2018
196,"Florida Everglades__no.0196, 2018. #GulfofMexico",2018
197,"Cocoa Beach, East Florida coast…Red Tide reported returned October 19, 2018, in large part of Brevard County__no.0197, 2018 #waterquality #publichealth",2018
198,"Ten Thousand Islands National Wildlife Preserve, Florida Gulf Coast at northern Everglades discharge__no.0198, 2018. #islands #GulfofMexico",2018
199,"Middle Fork of the Vermilion River in Illinois…”A power company is looking to wall off Illinois’ only national scenic river with rocks instead of removing toxic waste seeping into the water.”—Sept. 11, 2018, AP…__no.0199, 2018. #watercontamination #publichealth ",2018
200,"Middle Branch North Fork Vermilion River, upstream of the city of Danville, Illinois…groundwater testing found Boron at more than 13 times EPA standard__no.0200, 2018. #publichealthhazard #groundwatertesting #toxicminerals  ",2018
201,"Plastic bag fragment in the water, source/place unknown__no.0201, 2018. #plasticpollution #watercontamination ",2018
202,"Del Mar, California. Del Mar means “of the sea.” The Pacific is creeping toward this coastal city south of San Diego__no.0202, 2018. #Pacificcoast",2018
203,"“Honduran immigrants cross the Lempa River on the border between Honduras and Guatemala, near Caliente, to enter Guatemala and join a caravan trying to reach the U.S.”—Reuters, October 17, 2018.__no.0203, 2018. #refugees #immigration #rivercrossing",2018
204,"Northern Mariana Islands in the Pacific…Super Typhoon Yutu, October 2018__no.0204, 2018.",2018
205,"Oyster Bay, Northeast of Apalachicola, Florida..Oyster industry severely affected by Hurricane Michael, 2018__no.0205, 2018.  #GulfofMexico",2018
206,"Colorado River west of Specimen Mountain, North of Grand Lake, in Colorado__no.0206, 2018.",2018
207,"Colorado River flowing into Lake Granby in Colorado__no.0207, 2018.",2018
208,"Islands in the Persian Gulf on the west coast of Iran and just northeast of Bandar Bushehr. “Water transgression” is affecting these islands, several of which have structures__no.0208, 2018. #risingwaters #sealevelrise #climatechange #Mideast",2018
209,"Palm Jumeirah at the Persian Gulf coast of Dubai (United Arab Emirates) features hotels and a huge waterpark. It was created from 7 million tons of rock blasted from nearby mountains. But preliminary massive dredging drastically changed the wave, temperature, and erosion patterns in the Persian Gulf and a whole square mile of coral was killed. Developers dropped two American fighter jets on the seafloor to create new reefs__no.0209, 2018. #Persiangulf #Mideast #coral",2018
210,"River waters in Pakistan, east of Hoshab__no.0210, 2018. #Mideast #Asia",2018
211,"Bering Strait, between Alaska and Russia. At its narrowest point it is 55 miles wide, a pathway and a bottleneck for abundant wildlife and increasing ship traffic__no.0211, 2019",2019
212,"Van Etten Lake near Wurtsmith Air Force Base, outside of Oscoda, Michigan. The base is one of at least 55 military bases where drinking water is polluted with “forever chemicals” linked to cancers, immune suppression and serious health problems. “The lake now froths with toxic foam”—NYT, Feb 22, 2019__no.0212, 2019. #watercontamination #waterpollution #foreverchemicals ",2019
213,"Spencer Dam on the ice-packed Niobrara River in Nebraska, failed and released water toward Gavins Point Dam on the Missouri River at the South Dakota border…which in turn had to release water southward into already flooded midwest regions…March, 2019__no.0213, 2019.  #flooding #dams",2019
214,"Gavins Point Dam on the Missouri River on the South Dakota/Nebraska border, released 100,000 cubic feet of water per second at it’s peak, because of upriver flooding and pressure on the dam. Missouri River flooding, March, 2019__no.0214, 2019. #flooding #dams",2019
215,"Little Sioux River in Iowa rose 16 feet in one day during March 2019 floods. (Here, the more typical confluence with the Missouri River)__no.0215, 2019.",2019
216,"Hooghly River in India (Sundarbans region) where the small island of Ghoramera is one of scores of low-lying islands in the delta to rapidly disappear__no.0216, 2019. #sealevelrise #risingwaters #Asia",2019
217,"Penarth on Bristol Bay in Wales, England, where nuclear sludge is being dumped one-mile off shore__no.0217, 2019. #watercontamination #nuclearwaste #Europe",2019
218,"Kangava Bay on Rennell Island, in the southern Solomon Islands, NE of Australia. An oil tanker ran aground, slowly leaking oil over a month period so far…near a world heritage site, a coral atoll__no.0218, 2019. #Pacificislands #oilcontamination #oilleak",2019
219,"Russian River at the Pacific Ocean’s Sonoma Coast…Massive upstream flooding in late February of 2019 again brought hardship to the lower river communities where the river’s path narrows__no.0219, 2019. #Pacificcoast #excessiverains #flooding ",2019
220,"The Tagus River, the longest on the Iberian Peninsula, is slow-moving. “Climate change, dams and diversion bring the river on which millions depend, to brink of collapse.”—The Guardian, Aug, 2017.__no.0220, 2019. #Spain #Portugal #Europe",2017
221,"Cache la Poudra River and South Platte River, Colorado. “Swift Beef Co. and subsidiaries JBS USA, leading processors of beef and pork, are being sued for illegally dumping slaughterhouse pollution into Colorado waterways—press release, Center for Biological Diversity, 1-31-2019__no.0221, 2019. #watercontamination #industrialwaste #publichealth",2019
222,"South Kawishiwi River and Birch Lake: Twin Metals propose a sulfide ore copper mine along these waters within Minnesota Boundary Waters, south of Ely, Minnesota__no.0222, 2019. #mineralcontamination #toxicminerals #miningwastewater",2019
223,"Texas Gulf Potash Pond “One A” in San Juan County, Utah, near the Colorado River. These ponds are at various stages of evaporating, leaving potassium used in fertilizers. They are initially dyed a deep blue to absorb light from the sun and enhance drying times__no.0223, 2019. #pollutionrisk ",2019
224,"In Northeast Peru, rivers leading into the Amazon where Morona district villagers/protestors damaged oil pipeline, shutting it down__no.0224, 2019.  #SouthAmerica",2019
225,"Yakima River In Yakima County, Washington. After repetitive damage to their levee system, the flood district is proactively reconnecting the Yakima River to the floodplain to reduce future flood damage__no.0225, 2019. #riverflooding #floodplains #floodreductionmethods",2019
226,"Fort Zachary Taylor Beach, in Key West, Florida is closer to Havanna, Cuba, than to Miami, Florida. The very deep currents of the Straits of Florida lie between the two landmarks__no.0226, 2019.",2019
227,"The jagged shoreline of the serpentine Lake of the Ozarks, a man-made reservoir providing hydroelectic power to central Missouri and eastern Missouri’s Saint Louis region__no.0227, 2019.",2019
